apple | A round fruit with red or green skin and a whitish interior | A technology company famous for its iPhones and iPads
book | A set of written or printed pages, bound together | To arrange for someone to have a seat on a plane, in a hotel, etc.
cat | A small domesticated carnivorous mammal with soft fur | A type of heavy equipment used for construction
dog | A domesticated carnivorous mammal with a barking voice | A mechanical device for gripping or holding
elephant | A very large mammal with a long nose and large ears | A clumsy or awkward person
fish | A limbless cold-blooded vertebrate animal with gills and fins | To try to find something by feeling with the hands
guitar | A musical instrument with six or twelve strings played by strumming or plucking | A type of aircraft
house | A building for human habitation | A legislative or deliberative assembly
ice | Frozen water, a solid state of H2O | Diamonds or other gemstones as found in the form of ice
jacket | A short coat, usually extending to the hips | A casing or covering for a bullet
key | A small metal instrument specially cut to fit into a lock and move its bolt | A section of wood or metal fitting into a groove on another piece to form a joint or fastening
keyboard | A set of keys, usually arranged in rows, used for operating a typewriter, computer, or musical instrument
king | The male ruler of an independent state, especially one who inherits the position by right of birth
lamp | A device for giving light, either one consisting of an electric bulb together with its holder and shade or cover, or one burning gas or oil and consisting of a wick or mantle and a glass shade | A cosmic object with no detectable mass that may be a component of dark matter
mouse | A small rodent typically with a pointed snout, furry body, and long tail | A small handheld device that controls the movement of the cursor on a computer screen
nest | A structure in which birds lay eggs or give birth to their young | A person's snug or secluded retreat or shelter
orange | A round juicy citrus fruit with a tough bright reddish-yellow rind | A color between red and yellow in the spectrum
pen | An instrument for writing or drawing with ink | An enclosure for confining livestock
queen | The female ruler of an independent state, especially one who inherits the position by right of birth | A woman or thing regarded as excellent or outstanding of its kind
rain | Moisture condensed from the atmosphere that falls visibly in separate drops | To fall as or like rain
ship | A large boat for transporting people or goods by sea | To send something, especially goods or people, to a place by a ship
tree | A woody perennial plant, typically having a single stem or trunk growing to a considerable height and bearing lateral branches at some distance from the ground | A diagram with a structure of branching connecting lines or pathways
umbrella | A device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain | A circular-shaped structure
violin | A stringed musical instrument played with a bow, typically having four strings tuned in perfect fifths | A tool for removing stains from clothes
water | A colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms | To pour or sprinkle water on; make or become wet
xylophone | A musical instrument played by striking a row of wooden bars of graduated length with one or more small wooden or plastic mallets | A low-calorie fruit
yacht | A medium-sized sailboat equipped for cruising or racing | An acronym for a gaming engine
zebra | An African wild horse with black-and-white stripes and an erect mane | A remote control or satellite
